gtdb_genome_representative	aquatic_habitat	host_associated	soil_habitat
RS_GCF_011516935.1			
RS_GCF_000964205.1			
RS_GCF_000613905.1	1	1	0
RS_GCF_002153605.1	0	1	0
RS_GCF_001581075.1	0	1	0
GB_GCA_000691125.1	0	0	0
RS_GCF_000285315.1	0	0	0
RS_GCF_000010825.1	0	0	0
RS_GCF_017377735.1			
RS_GCF_006539345.1	1	0	0
RS_GCF_017377745.1			
RS_GCF_000613285.1			
RS_GCF_008365315.1			
GB_GCA_017474285.1	0	1	0
GB_GCA_017413025.1	0	1	0
RS_GCF_011516865.1	0	0	0
RS_GCF_000613865.1	0	1	0
RS_GCF_011516885.1			
RS_GCF_011516875.1	0	1	0
RS_GCF_000964225.1	0	1	0
RS_GCF_009765685.1	0	0	1
GB_GCA_011332665.1	0	0	1
RS_GCF_003352165.1	1	0	0
RS_GCF_017355885.1			
RS_GCF_000425365.1			
RS_GCF_017311575.1			
RS_GCF_014196305.1			
RS_GCF_014764365.1	0	1	0
RS_GCF_018413645.1			
RS_GCF_004336745.1	0	0	1
RS_GCF_018413585.1			
GB_GCA_014376425.1			
RS_GCF_009900765.1			
RS_GCF_004005855.1	1	0	0
RS_GCF_019084075.1			
RS_GCF_004761865.1	1	0	0
RS_GCF_014644455.1			
RS_GCF_016775475.1			
RS_GCF_900101615.1			
GB_GCA_902805545.1	0	0	1
RS_GCF_000745835.1			
RS_GCF_016773205.1			
RS_GCF_000802185.1	0	0	1
RS_GCF_008360935.1			
RS_GCF_014283215.1			
RS_GCF_004355005.1			
RS_GCF_003258945.1	0	1	0
RS_GCF_013112485.1			
